sl,gmat,gpa,work experience,admitted, , , , , , 
1,780,4,3,1, ,,,,,
2,750,3.9,4,1, ,,,,,
3,690,3.3,3,0, ,,,,,
4,710,3.7,5,1, ,,,,,
5,680,3.9,4,0, ,,,,,
6,730,3.7,6,1, ,,,,,
7,690,2.3,1,0, ,,,,,
8,720,3.3,4,1, ,,,,,
9,740,3.3,5,1, ,,,,,
10,690,1.7,1,0, ,,,,,
11,610,2.7,3,0, ,,,,,
12,690,3.7,5,1, ,,,,,
13,710,3.7,6,1, ,,,,,
14,680,3.3,4,0, ,,,,,
15,770,3.3,3,1, ,,,,,
16,610,3,1,0, ,,,,,
17,580,2.7,4,0, ,,,,,
18,650,3.7,6,1, ,,,,,
19,540,2.7,2,0, ,,,,,
20,590,2.3,3,0, ,,,,,
21,620,3.3,2,1,,,,,,
22,600,2,1,0,,,,,,
23,550,2.3,4,0,,,,,,
24,550,2.7,1,0,,,,,,
25,570,3,2,0,,,,,,
26,670,3.3,6,1,,,,,,
27,660,3.7,4,1,,,,,,
28,580,2.3,2,0,,,,,,
29,650,3.7,6,1,,,,,,
30,660,3.3,5,1,,,,,,
31,640,3,1,0,,,,,,
32,620,2.7,2,0,,,,,,
33,660,4,4,1,,,,,,
34,660,3.3,6,1,,,,,,
35,680,3.3,5,1,,,,,,
36,650,2.3,1,0,,,,,,
37,670,2.7,2,0,,,,,,
38,580,3.3,1,0,,,,,,
39,590,1.7,4,0,,,,,,
40,690,3.7,5,1,,,,,,
